date,code,deaths,infectives,recovered,removed,tested,recoveredTotal,deathsTotal,infectivesTotal,testedTotal,removedTotal,activeInfectives
2020-03-16,VDA,1,48,0,1,57,0,2,105,287,2,104
2020-03-16,VEN,6,301,10,16,2506,130,69,2473,35052,199,2248
2020-03-17,ABR,2,53,0,2,155,7,6,229,1688,13,218
2020-03-17,BAS,0,8,0,0,32,0,0,20,262,0,20
2020-03-17,BZ,2,50,1,3,409,1,8,291,2149,9,284
2020-03-17,CAL,0,25,0,0,263,1,1,114,1293,2,112
2020-03-17,EMR,47,409,46,93,1414,134,393,3931,14510,527,3471
2020-03-17,FVG,8,8,-1,7,107,17,30,394,4958,47,354
2020-03-17,LAZ,4,84,2,6,106,34,23,607,9436,57,554
2020-03-17,LIG,10,111,15,25,320,57,60,778,2509,117,685
2020-03-17,LOM,220,1571,117,337,2884,2485,1640,16220,46449,4125,12198
2020-03-17,MAR,12,129,0,12,129,0,69,1371,3225,69,1314
2020-03-17,MOL,0,4,0,0,48,5,1,25,301,6,19
2020-03-17,PIE,22,381,0,22,955,0,133,1897,6543,133,1783
2020-03-17,PUG,2,110,0,2,1060,2,18,340,3077,20,322
2020-03-17,SAR,0,10,0,0,206,0,2,117,1003,2,115
2020-03-17,TOS,3,187,1,4,817,12,17,1053,6727,29,1026
2020-03-17,UMB,0,33,0,0,230,4,1,197,1323,5,192
2020-03-17,VDA,0,31,0,0,111,0,2,136,398,2,134
2020-03-17,VEN,11,231,6,17,426,136,80,2704,35478,216,2463
2020-03-18,ABR,1,34,0,1,366,7,7,263,2054,14,250
2020-03-18,BAS,0,7,0,0,7,0,0,27,262,0,27
2020-03-18,BZ,1,85,0,1,695,1,9,376,2844,10,366
2020-03-18,CAL,0,15,1,1,375,2,1,129,1668,3,127
2020-03-18,EMR,65,594,18,83,951,152,458,4525,15461,610,3972
2020-03-18,FVG,1,68,-2,-1,68,15,31,462,4958,46,415
2020-03-18,LAZ,9,117,8,17,1709,42,32,724,11145,74,665
2020-03-18,LIG,13,109,13,26,403,70,73,887,2912,143,769
2020-03-18,LOM,319,1493,1003,1322,2534,3488,1959,17713,48983,5447,13354
2020-03-18,MAR,23,197,0,23,884,0,92,1568,4109,92,1499
2020-03-18,MOL,0,3,1,1,60,6,1,28,361,7,22
2020-03-18,PIE,21,444,0,21,973,0,154,2341,7516,154,2205
2020-03-18,PUG,1,43,0,1,356,2,19,383,3433,21,363
2020-03-18,SAR,0,17,0,0,132,0,2,134,1135,2,132
2020-03-18,TOS,5,277,5,10,879,17,22,1330,7606,39,1299
2020-03-18,UMB,1,50,0,1,278,4,2,247,1601,6,242
2020-03-18,VDA,1,29,0,1,88,0,3,165,486,3,163
2020-03-18,VEN,14,510,31,45,5363,167,94,3214,40841,261,2956
2020-03-19,ABR,4,122,1,5,355,8,11,385,2409,19,371
2020-03-19,BAS,0,10,0,0,91,0,0,37,353,0,37
2020-03-19,BZ,5,60,0,5,724,1,14,436,3568,15,425
2020-03-19,CAL,2,40,0,2,674,2,3,169,2342,5,166
2020-03-19,EMR,73,689,25,98,2883,177,531,5214,18344,708,4578
2020-03-19,FVG,5,137,26,31,137,41,36,599,4052,77,553
2020-03-19,LAZ,6,99,2,8,99,44,38,823,11145,82,747
